Date,Close,High,Low,Open,Volume
26/07/2021,14486,14505.90039,14343.2002,14486,0
27/07/2021,14523.5,14523.5,14458,14523.5,0
28/07/2021,14554,14554,14479.59961,14554,0
29/07/2021,14462.59961,14516.5,14406.2998,14516.5,0
30/07/2021,14450,14481.2998,14403,14447,0
02/08/2021,14456,14470.7998,14357.2998,14456,0
03/08/2021,14397.40039,14396.7002,14282.7002,14396.7002,0
04/08/2021,14349.5,14353.2002,14142.40039,14349.5,0
05/08/2021,14338.59961,14373.5,14306,14373.5,0
06/08/2021,14385.5,14401.7998,14333.2002,14385.5,0
09/08/2021,14346,14403,14346,14346,0
10/08/2021,14402.09961,14419.7998,14356,14400.2002,0
11/08/2021,14393.09961,14428.5,14357,14393.09961,0
12/08/2021,14395,14404.40039,14297.5,14345.59961,0
13/08/2021,14341,14415,14289,14376,0
16/08/2021,14381,14391,14349.5,14381,0
17/08/2021,14363,14426.5,14351,14404.5,0
18/08/2021,14425.09961,14469.7998,14311.08984,14469.7998,0
19/08/2021,14454.2002,14479.2998,14394,14402.40039,0
20/08/2021,14493.40039,14548,14396,14548,0
23/08/2021,14446,14446,14382.40039,14446,0
24/08/2021,14430,14467.5,14367.5,14430,0
25/08/2021,14448.7002,14448.7002,14363.2002,14448.7002,0
26/08/2021,14465.7002,14468,14407.40039,14465.7002,0
27/08/2021,14449.2998,14502,14350.88965,14502,0
30/08/2021,14411,14411,14314.5,14411,0
31/08/2021,14362,14362,14197.09961,14362,0
01/09/2021,14246.5,14299.7002,14208.2002,14246.5,0
02/09/2021,14269.2002,14283,14212.58008,14269.2002,0
03/09/2021,14245.5,14280,14109.5,14277,0
06/09/2021,14256,14256,14185.5,14256,0
07/09/2021,14231.40039,14271.2998,14153.7998,14250,0
08/09/2021,14279.2002,14287.2998,14206,14279.2002,0
09/09/2021,14326.40039,14326.7998,14230.59961,14325.40039,0
10/09/2021,14258.7998,14299.2002,14185,14299.2002,0
13/09/2021,14196,14284,14196,14196,0
14/09/2021,14291.59961,14291.59961,14188.7002,14291.59961,0
15/09/2021,14249.7002,14283.5,14207.90039,14283.5,0
16/09/2021,14264.5,14284.59961,14180.74023,14264.2998,0
17/09/2021,14283.90039,14283.90039,14166.80957,14241.09961,0
20/09/2021,14221,14306.7002,14221,14221,0
21/09/2021,14320.5,14320.2998,14206.59961,14320.2998,0
22/09/2021,14237.5,14290.7998,14172.78027,14290.7998,0
23/09/2021,14279.2002,14304.5,14177.75977,14279.2002,0
24/09/2021,14286.5,14307.40039,14226,14285.5,0
27/09/2021,14251,14284.2998,14178.75,14251,0
28/09/2021,14242.5,14317.5,14237.5,14291.5,0
29/09/2021,14318.59961,14364.2002,14266,14364.2002,0
30/09/2021,14385,14385,14279.59961,14385,0
01/10/2021,14328.59961,14366.5,14266.2002,14366.5,0
04/10/2021,14301,14305,14237.7998,14301,0
05/10/2021,14300.5,14299.5,14215.7998,14299.5,0
06/10/2021,14246,14302,14206.2002,14245.2998,0
07/10/2021,14232.40039,14270.59961,14164.09961,14270.59961,0
08/10/2021,14170.7998,14247.2998,14157.90039,14210,0
11/10/2021,14216,14225.7002,14153.87988,14216,0
12/10/2021,14194,14225.2998,14161,14205,0
13/10/2021,14221.2002,14255,14145.91992,14221.2002,0
14/10/2021,14219.7002,14219.7002,13579.2002,14219.7002,0
15/10/2021,14078.5,14111,14017.59961,14056.40039,0
18/10/2021,14067,14141.2998,14013.58008,14067,0
19/10/2021,14157.2002,14156.5,14046.2002,14156.5,0
20/10/2021,14116.7998,14149.90039,13624.90039,14116.7998,0
21/10/2021,14119.7998,14153.7998,14009.59961,14150.5,0
22/10/2021,14175,14228.90039,13721.2002,14175,0
25/10/2021,14116,14192.2002,14113.5,14116,0
26/10/2021,14193.5,14192.5,14117,14192.5,0
27/10/2021,14175.7002,14251.40039,14137.5,14175.7002,0
28/10/2021,14217.09961,14252,14163.90039,14252,0
29/10/2021,14229,14256,14152.2002,14198.59961,0
01/11/2021,14228.5,14332.09961,14161,14161,0
02/11/2021,14276.59961,14322.5,14244.5,14322.5,0
03/11/2021,14289.90039,14411.2002,14246,14325.7998,0
04/11/2021,14366,14402.2002,14302,14366,0
05/11/2021,14414,14414,14303.40039,14401,0
08/11/2021,14319.7998,14325,14237.5,14321,0
09/11/2021,14252,14288,14213.09961,14288,0
10/11/2021,14290,14307,14226.90039,14258.90039,0
11/11/2021,14302.40039,14337,14243.7998,14337,0
12/11/2021,14261.7002,14299.2002,14164.2002,14299.2002,0
15/11/2021,14186.7002,14229,14156.5,14229,0
16/11/2021,14185.40039,14253.5,14171.5,14185.40039,0
17/11/2021,14274.2002,14277.5,14214.5,14274.2002,0
18/11/2021,14223.7998,14255,14206,14255,0
19/11/2021,14204.7002,14300.5,14183.5,14235,0
22/11/2021,14265.09961,14291.59961,14224.09961,14231,0
23/11/2021,14259.59961,14298,14241,14295.5,0
24/11/2021,14272.5,14327.40039,14240.5,14301,0
25/11/2021,14303.40039,14336,14256,14336,0
26/11/2021,14320,14439.09961,14281,14320,0
29/11/2021,14408.2002,14378.2998,14003.5,14296,0
30/11/2021,14377,14377,14235.5,14377,0
01/12/2021,14333,14379.5,14286,14330,0
02/12/2021,14376,14450.40039,14281.24023,14419.7002,0
03/12/2021,14443.7998,14508,14356.90039,14443.7998,0
06/12/2021,14514,14462.7002,14391,14391,0
07/12/2021,14490,14490,14331.5,14490,0
08/12/2021,14393.2998,14392.2998,14041.2002,14392.2998,0
09/12/2021,14335,14432.2998,14288.5,14335,0
10/12/2021,14297.40039,14422.7998,14022,14329.5,0
13/12/2021,14351.90039,14370,14282.5,14366,0
14/12/2021,14324.7002,14356.2998,14283.5,14356.2998,0
15/12/2021,14342.5,14389.09961,14276.25977,14341.5,0
16/12/2021,14297.5,14376.5,14265.32031,14294.5,0
17/12/2021,14380,14387.7002,14344.5,14379.7998,0
20/12/2021,14385.7002,14415.40039,14360,14361,0
21/12/2021,14388.7002,14417.2998,14261.2002,14417.2998,0
22/12/2021,14263.90039,14307,14195.09961,14283.5,0
23/12/2021,14193.7998,14253,14167.5,14209,0
24/12/2021,14167.7998,14242,14104.5,14178.5,0
27/12/2021,14189.2998,14239.40039,14147.91016,14214,0
28/12/2021,14220,14239.5,14205.59961,14219,0
29/12/2021,14238.2002,14274.40039,14216.7002,14227.90039,0
30/12/2021,14237,14276.2002,14218.7002,14237,0
31/12/2021,14285.2002,14285.2002,14065.5,14285.2002,0
03/01/2022,14215,14301.2998,14207.5,14246,0
04/01/2022,14283.59961,14383.2998,14259,14303.7002,0
05/01/2022,14385.5,14398.5,14336.7002,14346.40039,0
06/01/2022,14446.5,14445.7998,14351,14445.7998,0
07/01/2022,14408,14408,14320.5,14408,0
10/01/2022,14318.5,14351,14262.2998,14351,0
11/01/2022,14313,14322.2998,14251.38965,14312,0
12/01/2022,14277,14355.5,14257.5,14303,0
13/01/2022,14298.90039,14326.2002,14266,14321.5,0
14/01/2022,14276,14324.2998,14239.4502,14273,0
17/01/2022,14314.5,14335.5,14290,14290,0
18/01/2022,14349.7002,14381.2998,14297,14331.2002,0
19/01/2022,14382.2998,14398.5,14331,14356.90039,0
20/01/2022,14362.7998,14382.5,14300.2998,14382.5,0
21/01/2022,14343,14356.5,14302.2002,14324,0
24/01/2022,14329.7002,14364.90039,14300,14331,0
25/01/2022,14365,14365,14299.40039,14365,0
26/01/2022,14330.5,14354,14063.7002,14342.5,0
27/01/2022,14366.40039,14397.5,14325.40039,14377.7002,0
28/01/2022,14389.2002,14413.2998,14313.08008,14389.2002,0
